key;context;value;
Conjemere;query;place|GLOB2_1182_HUM_1|Koonimedu;
Koonimedu;query;place|GLOB2_1182_HUM_1|Koonimedu;
Kunimedu;query;place|GLOB2_1182_HUM_1|Koonimedu;
Conimur;query;place|GLOB2_1182_HUM_2|Koonimedu;
Conjemere;query;place|GLOB2_1182_HUM_2|Koonimedu;
Koonimedu;query;place|GLOB2_1182_HUM_2|Koonimedu;
Kunimedu;query;place|GLOB2_1182_HUM_2|Koonimedu;
Singhia;query;place|GLOB2_1189|Singhia;
Singia;query;place|GLOB2_1189|Singhia;
Madura;query;place|GLOB2_1190|Madura (Indonesia);
Madura (Indonesia);query;place|GLOB2_1190|Madura (Indonesia);
Bongaja;query;place|GLOB2_1194|Bungaya;
Bungaya;query;place|GLOB2_1194|Bungaya;
Banjoemas;query;place|GLOB2_1195|Banyumas;
Banjumas;query;place|GLOB2_1195|Banyumas;
Banyumas;query;place|GLOB2_1195|Banyumas;
Candar;query;place|GLOB2_1198|Kendahe;
Candhar;query;place|GLOB2_1198|Kendahe;
Kandhar;query;place|GLOB2_1198|Kendahe;
Kendahe;query;place|GLOB2_1198|Kendahe;
Belgica, Kasteel;query;place|GLOB2_1201|Belgica, fort (Banda);
Belgica, fort;query;place|GLOB2_1201|Belgica, fort (Banda);
Belgica, fort (Banda);query;place|GLOB2_1201|Belgica, fort (Banda);
fort Belgica;query;place|GLOB2_1201|Belgica, fort (Banda);
fort Bellegika;query;place|GLOB2_1201|Belgica, fort (Banda);
redoute Neira;query;place|GLOB2_1201|Belgica, fort (Banda);
Malay Peninsula;query;place|GLOB2_1204|Malay Peninsula;
Malaya;query;place|GLOB2_1204|Malay Peninsula;
Barsalore;query;place|GLOB2_1206|Basrūr;
Barssalur;query;place|GLOB2_1206|Basrūr;
Basrūr;query;place|GLOB2_1206|Basrūr;
Bessalor;query;place|GLOB2_1206|Basrūr;
Lansjang;query;place|GLOB2_1208|Laos;
Laos;query;place|GLOB2_1208|Laos;
Louwen-Landt;query;place|GLOB2_1208|Laos;
Louwen-lant;query;place|GLOB2_1208|Laos;
Manganitoe;query;place|GLOB2_1210|Manganitu;
Manganitu;query;place|GLOB2_1210|Manganitu;
Pati;query;place|GLOB2_1211|Pati;
Hoorn;query;place|GLOB2_1212|Hoorn;
Caijbobo;query;place|GLOB2_1213|Kaibobo;
Caybobo;query;place|GLOB2_1213|Kaibobo;
Kaibobo;query;place|GLOB2_1213|Kaibobo;
Molenvlied;query;place|GLOB2_1214|Molenvliet;
Molenvliet;query;place|GLOB2_1214|Molenvliet;
Toudjouw Kotta;query;place|GLOB2_1216|Tujuh Kota;
Tudjuh Kota;query;place|GLOB2_1216|Tujuh Kota;
Tujuh Kota;query;place|GLOB2_1216|Tujuh Kota;
Teluk Tomini;query;place|GLOB2_1217|Teluk Tomini;
Tomini (Bocht van);query;place|GLOB2_1217|Teluk Tomini;
Tomini, Golf van;query;place|GLOB2_1217|Teluk Tomini;
Tomini, bocht van;query;place|GLOB2_1217|Teluk Tomini;
Fort Geldria;query;place|GLOB2_1218|Fort Geldria;
Geldria, Kasteel;query;place|GLOB2_1218|Fort Geldria;
Gelria, Kasteel;query;place|GLOB2_1218|Fort Geldria;
fort Gelderland;query;place|GLOB2_1218|Fort Geldria;
fort Geldria;query;place|GLOB2_1218|Fort Geldria;
Ende;query;place|GLOB2_1219|Pulau Ende;
Pulau Ende;query;place|GLOB2_1219|Pulau Ende;
New Spain;query;place|GLOB2_1220|New Spain;
Nieuw-Spanje;query;place|GLOB2_1220|New Spain;
Nova Espanga;query;place|GLOB2_1220|New Spain;
Nova Hispania;query;place|GLOB2_1220|New Spain;
Nova Spaigna;query;place|GLOB2_1220|New Spain;
Nova Spangien;query;place|GLOB2_1220|New Spain;
Concordia, Kasteel;query;place|GLOB2_1221|Concordia, fort (Timor);
Concordia, fort (Timor);query;place|GLOB2_1221|Concordia, fort (Timor);
Saint Malo;query;place|GLOB2_1223|Saint-Malo;
Saint-Malo;query;place|GLOB2_1223|Saint-Malo;
St. Malo;query;place|GLOB2_1223|Saint-Malo;
Golepalem;query;place|GLOB2_1224|Gollapalem;
Gollapalem;query;place|GLOB2_1224|Gollapalem;
Pulau Teor;query;place|GLOB2_1228|Pulau Teor;
Teeuwer;query;place|GLOB2_1228|Pulau Teor;
Tioor;query;place|GLOB2_1228|Pulau Teor;
Fort Oranje (Ternate);query;place|GLOB2_1229|Fort Oranje (Ternate);
Oranje, Kasteel;query;place|GLOB2_1229|Fort Oranje (Ternate);
Oranje, fort;query;place|GLOB2_1229|Fort Oranje (Ternate);
fort Orangie;query;place|GLOB2_1229|Fort Oranje (Ternate);
Schotland;query;place|GLOB2_1231|Scotland;
Scotland;query;place|GLOB2_1231|Scotland;
Magindanao;query;place|GLOB2_1232|Maguindanao;
Magindenao;query;place|GLOB2_1232|Maguindanao;
Maguindanao;query;place|GLOB2_1232|Maguindanao;
Brebes;query;place|GLOB2_1233|Brebes;
Lawajang;query;place|GLOB2_1234|Lohayong;
Lawajong;query;place|GLOB2_1234|Lohayong;
Lawayang;query;place|GLOB2_1234|Lohayong;
Lawayangh;query;place|GLOB2_1234|Lohayong;
Lohayong;query;place|GLOB2_1234|Lohayong;
Lowayang;query;place|GLOB2_1234|Lohayong;
Mekong;query;place|GLOB2_1236|Mekong River;
Mekong River;query;place|GLOB2_1236|Mekong River;
Saldanha;query;place|GLOB2_1238|Saldanha Bay;
Saldanha Bay;query;place|GLOB2_1238|Saldanha Bay;
Saldanhabaai;query;place|GLOB2_1238|Saldanha Bay;
Saldanhabaaij;query;place|GLOB2_1238|Saldanha Bay;
Saldanhabaij;query;place|GLOB2_1238|Saldanha Bay;
Saldanhabay;query;place|GLOB2_1238|Saldanha Bay;
Saldanhabhaij;query;place|GLOB2_1238|Saldanha Bay;
Saldanhaijbaij;query;place|GLOB2_1238|Saldanha Bay;
Saldanhaybaey;query;place|GLOB2_1238|Saldanha Bay;
Zaldanhabaaij;query;place|GLOB2_1238|Saldanha Bay;
Zaldanhabaij;query;place|GLOB2_1238|Saldanha Bay;
Zaldanhaybay;query;place|GLOB2_1238|Saldanha Bay;
Texel;query;place|GLOB2_1239|Texel;
Thie;query;place|GLOB2_1240|Thie;
Thy;query;place|GLOB2_1240|Thie;
Tie;query;place|GLOB2_1240|Thie;
Timor: Tie;query;place|GLOB2_1240|Thie;
Saccam;query;place|GLOB2_1241|Saccam;
Saccan;query;place|GLOB2_1241|Saccam;
Sakam;query;place|GLOB2_1241|Saccam;
Siccam;query;place|GLOB2_1241|Saccam;
Minahasa;query;place|GLOB2_1243|Minahasa;
Minahassa;query;place|GLOB2_1243|Minahasa;
Laut Poelo;query;place|GLOB2_1245|Pulau Laut;
Laut, Pulau;query;place|GLOB2_1245|Pulau Laut;
Pulau Laut;query;place|GLOB2_1245|Pulau Laut;
Tobang;query;place|GLOB2_1248|Tuban;
Toeban;query;place|GLOB2_1248|Tuban;
Tuban;query;place|GLOB2_1248|Tuban;
Nizampatam;query;place|GLOB2_1253|Nizampatnam;
Nizampatnam;query;place|GLOB2_1253|Nizampatnam;
Peettapoely;query;place|GLOB2_1253|Nizampatnam;
Petapoely;query;place|GLOB2_1253|Nizampatnam;
Petapoli;query;place|GLOB2_1253|Nizampatnam;
Petapuli;query;place|GLOB2_1253|Nizampatnam;
Bilba;query;place|GLOB2_1256|Bilba;
